author,text,like_count,published_at
@ochannia318,lah kerja di shoppe 12 jam kerja juga jadi daily worker gudang wkwkwk,0,2026-03-31T09:06:11Z
@rahmathidayat-yp6mb,Kata asn di Indonesia “untung gw jadi pekerja di indonesia”,0,2026-03-31T08:09:04Z
@JaniceAurellia,"waduh kasian, apalagi abis gt di PHK karena ada AI",0,2026-03-31T07:54:31Z
@criroseven5016,"gua kerja 12 jam perhari, gaji di bawah umr😢",0,2026-03-31T07:23:28Z
@DarelRahadian,"Gua waktu di sonson 1 di cimahi pernah kerja dari jam 7 pagi sampai jam 9 malam, rata2 itu pas bulan puasa, btw pemiliknya china",0,2026-03-31T07:18:32Z
@alexandersantoso817,Squidward sekali 😅,0,2026-03-31T06:58:58Z
@ffeenddyy,"saya kerja di toko 12 jam, tanpa libur 1 haripun kecuali hari besar (idul fitri/adha), tidur di tempat kerja dan bangun juga di tempat kerja, 84 jam/minggu, gaji dibawah UMR, agak sedih kalo di liat liat, semoga beberapa tahun lagi bebas dari zona ini.",1,2026-03-31T05:36:09Z
@seekor_tytyd,aku yg kerja 16jam dari jam setengah 8 pagi sampe 11 malem gajih 2jt per bulan ngontol ngontol,0,2026-03-31T05:20:03Z
@fj7138,Judol aja 12 jam kerja selama 7hari selama gaji sesuai mereka diem aja,0,2026-03-31T05:19:54Z
@istiqomahlakstaningtias-l4j,pekerja dan staff proyek di indo yang kerja dari jam 7 pagi sampe jam 11/12 malem juga banyak tuh,0,2026-03-31T05:11:45Z
@bagusforever4134,laaah aku malah tahunya kerja 69 bang.. buka warung jam 6 pagi dan tutup jam 9 malam.. ,0,2026-03-31T04:44:59Z
@AhmadHaris-c2z,"yang sukses bosnya, yang di peras karyawannya",0,2026-03-31T04:16:20Z
@KomangKesumaWijaya,negara dengan ideologi komunis tetapi sistem perekonomiannya lebih kapitalis daripada semua negara kapitalis,0,2026-03-31T04:15:28Z
@rikamashfufah481,"Gw kalo di cina, pegawai tidak tau malu dong 😂😂😅",1,2026-03-31T03:52:59Z
@0riginalrisk,Hiduuuuppppppppp…!!!!!!!,0,2026-03-31T03:31:08Z
@almiscrab3938,Apa Mereka mau bikin orang Amerika sibuk kerja biar gak ada waktu buat cari informasi di internet ?😅,0,2026-03-31T02:52:07Z
@arilsujana3971,"996 akal2an pengusaha, oligark, dan pejabat2 😂",1,2026-03-31T02:49:29Z
@LauLau-n9i,096 aja😂,0,2026-03-31T02:48:39Z
@spacegaming001,"""untuk sukses harus bekerja lebih keras dan mengorbankan lebih banyak waktu"", ya betul, karena yang sukses yang ngomong, bukan yang kerja dengan upah rendah yang mengisi kantong yang ngomong ",3,2026-03-31T02:42:30Z
@bet6953,Di Konoha malah banyak yang lebih dari 996,0,2026-03-31T01:55:16Z
@ratriputri3492,"Jelas aja pengusaha dukung. Kan yang jadi kaya raya mereka. Bukan pegawainya. Pegawainya dapat capek aja dan dapat status pegawai loyal. Mana kadang uang lemburan seikhlasnya...
Mau kaya raya, salah satu caranya adalah eksploitasi manusia. 😂",0,2026-03-31T01:31:14Z
@Nahdi24,berangkat kerja jam 9 malam pulang jam 9 pagi = shift malam,0,2026-03-31T01:02:45Z
@RSRgame,Family timenya kapan tuh? 😢,0,2026-03-30T23:44:05Z
@JantanDanbetina,"Jadi begini bang, biaya lembur itu jauh lebih murah ketimbang menambah orang untuk bekerja 
Ditempatku ada karyawan keluar tapi bos aku gak mau nambah karyawan lagi karena gajinya, jadi yang ditumbalin karyawan nya untuk mengisi kekosongan dia dengan cara lembur...
Karena kalo kita lembur jam 9 ketemu jam 9 ada waktu kosong 2 jam untuk istirahat dan 2 jam istirahat itu gak di hitung sebagai lemburan",0,2026-03-30T23:28:42Z
@hendrimulyana5094,"Abangkuh bahas tentang perkerja buruh buruh pabrik dinegara wakanda.. tentang harian Lepas(HL) yang berlindung di  SISTEM Magang. saya saat ini sedang di posisi tersebut sudah hampir 3thun. Sedangkan posisi kerja nya sama aja, tetapi penghasilannya Money nya berbeda hampir 3-4jt😊😊",0,2026-03-30T21:23:14Z
@ArsandaFc,"Jack ma bilang gth karna dia Bos,kalo dia karyawan ga akan ngomong gth",0,2026-03-30T19:08:40Z
@cgxastroboy3267,Masih klh sama gua gua ngojol dari jam 7 pgi sampai 12 mallam😂 apalagi narik di jabodetabek behhh mantap,0,2026-03-30T16:07:57Z
@qoryabdi5167,"Komunis emg , ga heran.",0,2026-03-30T15:55:00Z
@alfar4549,Di Taiwan juga sama saat ini,0,2026-03-30T15:41:34Z
@auliaulfahasanah,"Bersyukur loh koi kerjanya gak ikutin sistem,kalau kerja lemburan terus bisa sakit²an",0,2026-03-30T14:06:19Z
@putrinilam9212,Koi aku lebih suka pembawaanmu yang lama ya. Ga buru2 & nada suaranya lebih enak didenger,0,2026-03-30T13:36:29Z
@SurotoClp,Kalo d konoha senengya   borongan padahal merugikan  diri sendiri😂😂 makany. Dulu mereka lebih cepet  maju  Bukti SDM nya tinggi  dan memanfaatkan waktu dan pemerintah sekarang kalo kita ngikutin budayabitu tidak bisa karena sudah klihatqn buruk  kanrena sprti pencucian kertas,0,2026-03-30T13:27:46Z
@X-TIGER-X622,Hidup J_k_wi!!! 😢,0,2026-03-30T12:40:25Z
