Title,Title_URL,Image,Price,Tag,Tag1
Nike V2k Run Black Dark Smoke Grey,https://www.kickavenue.com/sneakers/nike/nike-v2k-run-black-dark-smoke-grey-hj4497-001-ka/114463?from=search,https://cdn-old.kickavenue.com/eyJidWNrZXQiOiJraWNrYXZlbnVlLWFzc2V0cyIsImtleSI6InByb2R1Y3RzLzExNDQ2My85Nzk3MDYyMjYyZGFkMjlhMDAyZWM5YjE3ZjU2OTU4NS5wbmciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjQwMH0sIndlYnAiOnsicXVhbGl0eSI6NTB9fX0=,Nike,"IDR 1,490,000","IDR 1,980,000"
Air Jordan 1 Retro High OG Hand Crafted,https://www.kickavenue.com/sneakers/air-jordan/jordan-1-retro-high-og-hand-crafted-dh3097-001-ka-2/27625?from=search,https://cdn-old.kickavenue.com/eyJidWNrZXQiOiJraWNrYXZlbnVlLWFzc2V0cyIsImtleSI6InByb2R1Y3RzLzI3NjI1LzgxMTRmNDNhMjkyZGFlN2EwZTEyOTIwMWNlNGUyODQ4LnBuZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NDAwfSwid2VicCI6eyJxdWFsaXR5Ijo1MH19fQ==,Air Jordan,"IDR 1,250,000","IDR 2,640,000"
Nike Dunk Low EMB NBA 75th Anniversary Chicago (Grade School),https://www.kickavenue.com/sneakers/nike/nike-dunk-low-emb-nba-75th-anniversary-chicago-gs-do6288-100-ka/27308?from=search,https://cdn-old.kickavenue.com/eyJidWNrZXQiOiJraWNrYXZlbnVlLWFzc2V0cyIsImtleSI6InByb2R1Y3RzLzI3MzA4LzlhZWIxNWE1NWE1NTk2ZGVhZWQ4ODQyOWNiN2FkZmE0LnBuZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NDAwfSwid2VicCI6eyJxdWFsaXR5Ijo1MH19fQ==,Nike,"IDR 750,000","IDR 1,249,000"
Converse Chuck Taylor All-Star 70's High Parchment,https://www.kickavenue.com/sneakers/converse/converse-chuck-taylor-all-star-70s-high-parchment-162053c-ka/5983?from=search,https://cdn-old.kickavenue.com/eyJidWNrZXQiOiJraWNrYXZlbnVlLWFzc2V0cyIsImtleSI6InByb2R1Y3RzLzU5ODMvMDI0OGUzODZkN2Y5MTgxNmVlMDIwMzQ4Zjk5M2U0NTcucG5nIiwiZWRpdHMiOnsicmVzaXplIjp7IndpZHRoIjo0MDB9LCJ3ZWJwIjp7InF1YWxpdHkiOjUwfX19,Converse,"IDR 800,000","IDR 1,402,500"
Puma Speedcat OG Metallic Silver Black,https://www.kickavenue.com/sneakers/puma/puma-speedcat-og-metallic-silver-black-403689-01-ka/140651?from=search,https://cdn-old.kickavenue.com/eyJidWNrZXQiOiJraWNrYXZlbnVlLWFzc2V0cyIsImtleSI6InByb2R1Y3RzLzE0MDY1MS81ZDI4NmMzMzAyZGVmMTk3MzM2ZDU3NmI5YjdmZDI2Ny5wbmciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjQwMH0sIndlYnAiOnsicXVhbGl0eSI6NTB9fX0=,Puma,"IDR 1,730,000",
Crocs Classic Clog Patrick Star,https://www.kickavenue.com/sneakers/crocs/crocs-classic-clog-patrick-star-209479-737-ka/105376?from=search,https://cdn-old.kickavenue.com/eyJidWNrZXQiOiJraWNrYXZlbnVlLWFzc2V0cyIsImtleSI6InByb2R1Y3RzLzEwNTM3Ni82MDZjYzVkNTVjMWMzZGViYjYwMzc4Yjk1NjgwNjQ0My5wbmciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjQwMH0sIndlYnAiOnsicXVhbGl0eSI6NTB9fX0=,Crocs,"IDR 2,000,000",
Jordan 4 Retro Levi's Denim,https://www.kickavenue.com/sneakers/air-jordan/jordan-4-retro-levis-denim-ao2571-401-ka-2/649?from=search,https://cdn-old.kickavenue.com/eyJidWNrZXQiOiJraWNrYXZlbnVlLWFzc2V0cyIsImtleSI6InByb2R1Y3RzLzY0OS9jYzdlYWZhOC1lYTBhLTQ5ZTQtOTU5Zi1hZGMwMTM3MzM4MGQuanBlZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NDAwfSwid2VicCI6eyJxdWFsaXR5Ijo1MH19fQ==,Air Jordan,"IDR 13,860,000",
Vans SK8 Low Black,https://www.kickavenue.com/sneakers/vans/vans-sk8-low-black-vn0a4uukenr-ka/59042?from=search,https://cdn-old.kickavenue.com/eyJidWNrZXQiOiJraWNrYXZlbnVlLWFzc2V0cyIsImtleSI6InByb2R1Y3RzLzU5MDQyL2I5NDdhZDhlOWM0NmQzNjc3MWQ5YmVkODZhMGZkNWIzLmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjQwMH0sIndlYnAiOnsicXVhbGl0eSI6NTB9fX0=,Vans,"IDR 2,360,000",
Onitsuka Tiger Tokuten Black White,https://www.kickavenue.com/sneakers/onitsuka-tiger/onitsuka-tiger-tokuten-black-white-1183c429-001-ka/121816?from=search,https://cdn-old.kickavenue.com/eyJidWNrZXQiOiJraWNrYXZlbnVlLWFzc2V0cyIsImtleSI6InByb2R1Y3RzLzEyMTgxNi80NWI2NTU4YjVjZTMyMmE4YWNlZjE0NjBmYmE1NDQ4OC5wbmciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjQwMH0sIndlYnAiOnsicXVhbGl0eSI6NTB9fX0=,Onitsuka Tiger,"IDR 3,060,000",
ASICS Gel-Kayano 14 White Pure Silver Slate Grey,https://www.kickavenue.com/sneakers/asics/asics-gel-kayano-14-white-pure-silver-slate-grey-1201a019-107-ka/57918?from=search,https://cdn-old.kickavenue.com/eyJidWNrZXQiOiJraWNrYXZlbnVlLWFzc2V0cyIsImtleSI6InByb2R1Y3RzLzU3OTE4LzE3NzFjZjBhMzVmMTlmMTU1YjM2N2Y2OWQzOGQ0NmE2LmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjQwMH0sIndlYnAiOnsicXVhbGl0eSI6NTB9fX0=,ASICS,"IDR 2,650,000",
Air Jordan 1 Mid Armory Navy,https://www.kickavenue.com/sneakers/air-jordan/jordan-1-mid-armory-navy-554724-411-ka-2/27380?from=search,https://cdn-old.kickavenue.com/eyJidWNrZXQiOiJraWNrYXZlbnVlLWFzc2V0cyIsImtleSI6InByb2R1Y3RzLzI3MzgwLzUwZGEyMzAyNDc4Y2I0YmVkMzQ3Mjg1ZjBkODlhNTcxLnBuZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NDAwfSwid2VicCI6eyJxdWFsaXR5Ijo1MH19fQ==,Air Jordan,"IDR 1,900,000",
Air Jordan 4 Retro SB Navy,https://www.kickavenue.com/sneakers/air-jordan/air-jordan-4-retro-sb-navy-dr5415-100-ka/125486?from=search,https://cdn-old.kickavenue.com/eyJidWNrZXQiOiJraWNrYXZlbnVlLWFzc2V0cyIsImtleSI6InByb2R1Y3RzLzEyNTQ4Ni9iNDUxMGIxZjE1NTg1ZTBiNjMyMGI1YWM2N2YyZDRiZi5wbmciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjQwMH0sIndlYnAiOnsicXVhbGl0eSI6NTB9fX0=,Air Jordan,"IDR 3,500,000",
Air Jordan 1 Retro High OG SP Fragment x Union LA Sport Royal,https://www.kickavenue.com/sneakers/air-jordan/air-jordan-1-retro-high-og-sp-fragment-x-union-la-sport-royal-io7847-001-ka/153863?from=search,https://cdn-old.kickavenue.com/eyJidWNrZXQiOiJraWNrYXZlbnVlLWFzc2V0cyIsImtleSI6InByb2R1Y3RzLzE1Mzg2My8xNWNiY2M1NmQyNzNhZDI3NTg2N2JlZmI2M2YwYWEzNi5wbmciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjQwMH0sIndlYnAiOnsicXVhbGl0eSI6NTB9fX0=,Air Jordan,"IDR 9,330,000",
Nike Zoom Vomero 5 Platinum Tint,https://www.kickavenue.com/sneakers/nike/nike-zoom-vomero-5-platinum-tint-hf0731-007-ka/79214?from=search,https://cdn-old.kickavenue.com/eyJidWNrZXQiOiJraWNrYXZlbnVlLWFzc2V0cyIsImtleSI6InByb2R1Y3RzLzc5MjE0LzQ2MTY4YTUxNzBhMmM2MjdiMzIxMjJkY2Q4YThmNTY5LnBuZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NDAwfSwid2VicCI6eyJxdWFsaXR5Ijo1MH19fQ==,Nike,"IDR 2,090,000","IDR 2,489,000"
Nike Mind 001 Slide Black Chrome,https://www.kickavenue.com/sneakers/nike/nike-mind-001-slide-black-chrome-hq4307-001-ka/153238?from=search,https://cdn-old.kickavenue.com/eyJidWNrZXQiOiJraWNrYXZlbnVlLWFzc2V0cyIsImtleSI6InByb2R1Y3RzLzE1MzIzOC9hNzIwNjgwMjYwZWZjNjM3MDk5NjBmMmI1YTNiNjNiMy5wbmciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjQwMH0sIndlYnAiOnsicXVhbGl0eSI6NTB9fX0=,Nike,"IDR 4,300,000",
Air Jordan 6 Retro Pre-SchoolG Paris Saint-Germain Silver,https://www.kickavenue.com/sneakers/air-jordan/air-jordan-6-retro-pre-schoolg-paris-saint-germain-silver-iq5135-001-ka/153441?from=search,https://cdn-old.kickavenue.com/eyJidWNrZXQiOiJraWNrYXZlbnVlLWFzc2V0cyIsImtleSI6InByb2R1Y3RzLzE1MzQ0MS80MWJlNDFmMzA5Zjc3YTdkZjNiZDc0OGI3ZTU2NWY4Ny5wbmciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjQwMH0sIndlYnAiOnsicXVhbGl0eSI6NTB9fX0=,Air Jordan,"IDR 4,570,000",
Air Jordan 1 Retro Low OG SP Travis Scott Medium Olive,https://www.kickavenue.com/sneakers/air-jordan/air-jordan-1-retro-low-og-sp-travis-scott-medium-olive-dm7866-200-ka/109895?from=search,https://cdn-old.kickavenue.com/eyJidWNrZXQiOiJraWNrYXZlbnVlLWFzc2V0cyIsImtleSI6InByb2R1Y3RzLzEwOTg5NS9hZjc2ZDgzMWQzZmVlMDljYmQ2MGQ1NDk4ZmY5ZmQ0Yy5wbmciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjQwMH0sIndlYnAiOnsicXVhbGl0eSI6NTB9fX0=,Air Jordan,"IDR 8,200,000",
